ensembl_gene_id	external_gene_name	entrezgene_id
YJR111C	PXP2	853575
YPL152W	RRD2	855951
YJR113C	RSM7	853578
YDR131C		851709
YEL020W-A	TIM9	856693
YLR116W	MSL5	850807
YLR013W	GAT3	850700
YBR125C	PTC4	852422
YPL216W		855885
YOR290C	SNF2	854465
YEL012W	UBC8	856704
YLR179C		850876
YDR297W	SUR2	851891
YBR191W	RPL21A	852489
YKL060C	FBA1	853805
YDL215C	GDH2	851311
YJL205C	NCE101	853225
YGL133W	ITC1	852744
YOR355W	GDS1	854537
YIL061C	SNP1	854749
YGR078C	PAC10	852969
YAR068W		851296
YLR417W	VPS36	851135
YDL129W		851428
YPL082C	MOT1	856023
YMR101C	SRT1	855127
YBR299W	MAL32	852602
YDL088C	ASM4	851470
YKR034W	DAL80	853904
YOR005C	DNL4	854166
YCR081W	SRB8	850442
YHR143W-A	RPC10	856547
YMR296C	LCB1	855342
YMR212C	EFR3	855252
YDR039C	ENA2	851609
YFL027C	GYP8	850517
YBR219C		852520
YBL032W	HEK2	852248
YFR039C	OSW7	850600
YER184C	TOG1	856933
YBR114W	RAD16	852411
YBR267W	REI1	852569
YIL009C-A	EST3	854806
YDR075W	PPH3	851647
YER060W-A	FCY22	856789
YNL135C	FPR1	855587
YPR107C	YTH1	856222
YOL001W	PHO80	854161
YNL032W	SIW14	855699
YHR060W	VMA22	856457
YOR187W	TUF1	854359
YMR127C	SAS2	855157
YDL223C	HBT1	851303
YDR156W	RPA14	851734
YDR167W	TAF10	851745
YGR281W	YOR1	853198
YIL060W		854750
YPL146C	NOP53	855957
YGL148W	ARO2	852729
YPR133W-A	TOM5	856252
YAL044C	GCV3	851254
YOR151C	RPB2	854322
YNL046W		855681
YJL003W	COX16	853454
YEL058W	PCM1	856652
YNL325C	FIG4	855392
YLR369W	SSQ1	851084
YGL004C	RPN14	852880
YJL196C	ELO1	853243
YPR015C		856125
YMR013C	SEC59	855026
YHL013C	OTU2	856373
YER165W	PAB1	856912
YIL089W		854719
YNL062C	GCD10	855663
YML059C	NTE1	854943
YML086C	ALO1	854888
YPL036W	PMA2	856071
YOR161C-C		1466484
YBL061C	SKT5	852218
YIL166C		854640
YHR216W	IMD2	856626
YER182W	FMP10	856931
YKR005C		853874
YMR186W	HSC82	855224
YMR169C	ALD3	855205
YCL056C	PEX34	850302
YGL223C	COG1	852649
YJL098W	SAP185	853347
YOR396W	YRF1-8	854577
YOR396W	YRF1-8	852158
YOR396W	YRF1-8	851189
YLR332W	MID2	851042
YOL066C	RIB2	854088
YNL247W		855474
YPR102C	RPL11A	856217
YBR287W		852590
YGL007C-A		1466455
YGL175C	SAE2	852700
YHR071W	PCL5	856468
YIL095W	PRK1	854713
YHR107C	CDC12	856507
YOL166W-A		1466472
YLR050C		850739
YCR010C	ADY2	850368
YNL161W	CBK1	855561
YMR306W	FKS3	855353
YAR066W		856621
YAR066W		851295
YGL128C	CWC23	852749
YPR048W	TAH18	856161
